Time,og_F,corr_F
36.7,5.61523,-0.357411
36.8,5.82886,-0.155044
36.9,5.70679,-0.288377
37,5.79834,-0.20809
37.1,5.92041,-0.097283
37.2,5.67627,-0.352686
37.3,5.95093,-0.089289
37.4,5.49316,-0.558322
37.5,6.01196,-0.050785
37.6,5.5542,-0.519808
37.7,6.01196,-0.073311
37.8,5.70679,-0.389744
37.9,5.92041,-0.187387
38,5.67627,-0.44279
38.1,5.95093,-0.179393
38.2,5.52368,-0.617906
38.3,5.98145,-0.171399
38.4,5.61523,-0.548882
38.5,5.7373,-0.438075
38.6,6.43921,0.252572
38.7,5.5542,-0.643701
38.8,6.5918,0.382636
38.9,5.5542,-0.666227
39,6.31714,0.08545
39.1,5.64575,-0.597203
39.2,6.37817,0.123954
39.3,6.01196,-0.253519
39.4,5.95093,-0.325812
39.5,6.073,-0.215005
39.6,5.92041,-0.378858
39.7,5.98145,-0.329081
39.8,5.85938,-0.462414
39.9,6.56128,0.228223
40,5.46265,-0.88167
40.1,6.86646,0.510877
40.2,5.52368,-0.843166
40.3,6.2561,-0.122009
40.4,6.04248,-0.346892
40.5,6.28662,-0.114015
40.6,6.28662,-0.125278
40.7,6.43921,0.016049
40.8,6.2561,-0.178324
40.9,6.04248,-0.403207
41,6.37817,-0.07878
41.1,5.88989,-0.578323
41.2,6.68335,0.203874
41.3,5.85938,-0.631359
41.4,6.95801,0.456008
41.5,5.88989,-0.623375
41.6,7.2937,0.769172
41.7,6.22559,-0.310201
41.8,5.98145,-0.565604
41.9,6.65283,0.094513
42,6.01196,-0.55762
42.1,6.50024,-0.080603
42.2,6.37817,-0.213936
42.3,6.43921,-0.164159
42.4,6.31714,-0.297492
42.5,6.7749,0.149005
42.6,5.92041,-0.716748
42.7,6.56128,-0.087141
42.8,6.10352,-0.556164
42.9,6.40869,-0.262257
43,6.83594,0.15373
43.1,6.13403,-0.559443
43.2,6.46973,-0.235006
43.3,6.31714,-0.398859
43.4,6.7749,0.047638
43.5,6.16455,-0.573975
43.6,6.68335,-0.066438
43.7,5.88989,-0.871161
43.8,6.71387,-0.058444
43.9,6.04248,-0.741097
44,6.74438,-0.05046
44.1,6.37817,-0.427933
44.2,6.56128,-0.256086
44.3,6.65283,-0.175799
44.4,5.7373,-1.102592
44.5,6.74438,-0.106775
44.6,6.37817,-0.484248
44.7,6.53076,-0.342921
44.8,6.5918,-0.293144
44.9,6.53076,-0.365447
45,5.85938,-1.04809
45.1,6.92749,0.008757
45.2,6.43921,-0.490786
45.3,6.37817,-0.563089
45.4,6.95801,0.005488
45.5,6.01196,-0.951825
45.6,6.71387,-0.261178
45.7,6.31714,-0.669171
45.8,6.92749,-0.070084
45.9,6.37817,-0.630667
46,7.01904,-0.00106
46.1,6.19507,-0.836293
46.2,6.83594,-0.206686
46.3,6.40869,-0.645199
46.4,6.86646,-0.198692
46.5,6.71387,-0.362545
46.6,6.65283,-0.434848
46.7,6.71387,-0.385071
46.8,6.073,-1.037204
46.9,7.41577,0.294303
47,6.28662,-0.84611
47.1,7.01904,-0.124953
47.2,6.53076,-0.624496
47.3,6.53076,-0.635759
47.4,6.22559,-0.952192
47.5,6.95801,-0.231035
47.6,6.28662,-0.913688
47.7,6.71387,-0.497701
47.8,7.1106,-0.112234
47.9,6.04248,-1.191617
48,7.17163,-0.07373
48.1,6.28662,-0.970003
48.2,6.89697,-0.370916
48.3,6.50024,-0.778909
48.4,6.71387,-0.576542
48.5,6.53076,-0.770915
48.6,6.83594,-0.476998
48.7,6.5918,-0.732401
48.8,6.71387,-0.621594
48.9,6.83594,-0.510787
49,6.40869,-0.9493
49.1,7.1106,-0.258653
49.2,6.19507,-1.185446
49.3,7.41577,0.023991
49.4,6.43921,-0.963832
49.5,7.1106,-0.303705
49.6,6.46973,-0.955838
49.7,6.83594,-0.600891
49.8,6.74438,-0.703714
49.9,6.7749,-0.684457
50,6.50024,-0.97038
50.1,6.86646,-0.615423
50.2,7.08008,-0.413066
50.3,6.22559,-1.278819
50.4,7.2937,-0.221972
50.5,6.13403,-1.392905
50.6,7.04956,-0.488638
50.7,6.86646,-0.683001
50.8,6.68335,-0.877374
50.9,6.68335,-0.888637
51,6.98853,-0.59472
51.1,6.71387,-0.880643
51.2,6.71387,-0.891906
51.3,7.04956,-0.567479
